"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","gender","civil_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"less than 200",30,"delayed","new car",2150,"between 500 and 999","less than 4 years",4,"female","unspecified","guaranteed",2,"no collateral",24,"bank debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",24,"critical","furniture/equipment",4151,"less than 100","less than 4 years",2,"male","single","individual",3,"life insurance",35,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",9,"delayed","furniture/equipment",2030,"between 100 and 499","less than 7 years",2,"male","single","individual",1,"vehicle",24,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",60,"critical","radio/tv",7418,"between 100 and 499","less than 4 years",1,"male","single","individual",1,"real estate",27,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"no checking",24,"dully paid","radio/tv",2684,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"real estate",35,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"negative",12,"no credits","radio/tv",2149,"between 500 and 999","less than 4 years",4,"male","divorced","individual",1,"no collateral",29,"no debt","free use",1,"skilled",1,"no","yes","bad"
"no checking",15,"delayed","used car",3812,"less than 100","less than 1 year",1,"female","unspecified","individual",4,"vehicle",23,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",11,"dully paid","radio/tv",1154,"less than 100","unemployed",4,"female","unspecified","individual",4,"real estate",57,"no debt","owned",3,"unskilled res",1,"no","yes","good"
"negative",12,"delayed","furniture/equipment",1657,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"real estate",27,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",24,"delayed","radio/tv",1603,"between 500 and 999","more than 7 years",4,"female","unspecified","individual",4,"vehicle",55,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",18,"dully paid","new car",5302,"between 500 and 999","more than 7 years",2,"male","single","individual",4,"no collateral",36,"no debt","free use",3,"highly qualified",1,"yes","yes","good"
"no checking",12,"dully paid","education",2748,"between 500 and 999","more than 7 years",2,"female","unspecified","individual",4,"no collateral",57,"bank debt","free use",3,"unskilled res",1,"no","yes","good"
"no checking",10,"dully paid","new car",1231,"between 500 and 999","more than 7 years",3,"male","single","individual",4,"real estate",32,"no debt","owned",2,"unskilled res",2,"no","no","good"
"less than 200",15,"delayed","radio/tv",802,"between 500 and 999","more than 7 years",4,"male","single","individual",3,"vehicle",37,"no debt","owned",1,"skilled",2,"no","yes","bad"
"no checking",36,"dully paid","business",6304,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"real estate",36,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",24,"delayed","radio/tv",1533,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",3,"vehicle",38,"purchase debt","owned",1,"skilled",1,"yes","yes","good"
"negative",14,"delayed","new car",8978,"between 500 and 999","more than 7 years",1,"male","divorced","individual",4,"life insurance",45,"no debt","owned",1,"highly qualified",1,"yes","no","bad"
"no checking",24,"delayed","radio/tv",999,"between 100 and 499","more than 7 years",4,"male","single","individual",2,"vehicle",25,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",18,"delayed","new car",2662,"between 100 and 499","less than 7 years",4,"male","single","individual",3,"life insurance",32,"no debt","owned",1,"skilled",1,"no","no","good"
"no checking",12,"dully paid","furniture/equipment",1402,"more than or = 1000","less than 7 years",3,"female","unspecified","individual",4,"vehicle",37,"no debt","rented",1,"skilled",1,"yes","yes","good"
"less than 200",48,"no credits","new car",12169,"between 100 and 499","unemployed",4,"male","single","co-aplicant",4,"no collateral",36,"no debt","free use",1,"highly qualified",1,"yes","yes","good"
"less than 200",48,"delayed","radio/tv",3060,"between 500 and 999","less than 7 years",4,"male","single","individual",4,"real estate",28,"no debt","owned",2,"skilled",1,"no","yes","bad"
"negative",30,"delayed","repairs",11998,"between 500 and 999","less than 1 year",1,"male","divorced","individual",1,"no collateral",34,"no debt","owned",1,"unskilled res",1,"yes","yes","bad"
"no checking",9,"delayed","radio/tv",2697,"between 500 and 999","less than 4 years",1,"male","single","individual",2,"real estate",32,"no debt","owned",1,"skilled",2,"no","yes","good"
"no checking",18,"dully paid","radio/tv",2404,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",2,"vehicle",26,"no debt","owned",2,"skilled",1,"no","yes","good"
"negative",12,"delayed","furniture/equipment",1262,"between 100 and 499","more than 7 years",2,"male","divorced","individual",4,"life insurance",49,"no debt","owned",1,"unskilled res",1,"yes","yes","good"
"no checking",6,"delayed","furniture/equipment",4611,"between 500 and 999","less than 1 year",1,"female","unspecified","individual",4,"life insurance",32,"no debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",24,"delayed","radio/tv",1901,"less than 100","less than 4 years",4,"male","single","individual",4,"vehicle",29,"no debt","rented",1,"highly qualified",1,"yes","yes","good"
"no checking",15,"dully paid","used car",3368,"no savingss","more than 7 years",3,"male","single","individual",4,"no collateral",23,"no debt","rented",2,"skilled",1,"yes","yes","good"
"no checking",12,"delayed","furniture/equipment",1574,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"real estate",50,"no debt","owned",1,"skilled",1,"no","yes","good"
"more than or = 200",18,"no credits","radio/tv",1445,"between 100 and 499","less than 7 years",4,"male","single","individual",4,"vehicle",49,"bank debt","owned",1,"unskilled res",1,"no","yes","good"
"no checking",15,"dully paid","furniture/equipment",1520,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"life insurance",63,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",24,"dully paid","new car",3878,"less than 100","less than 1 year",4,"male","divorced","individual",2,"vehicle",37,"no debt","owned",1,"skilled",1,"yes","yes","good"
"negative",47,"delayed","new car",10722,"between 500 and 999","less than 1 year",1,"female","unspecified","individual",1,"real estate",35,"no debt","owned",1,"unskilled res",1,"yes","yes","good"
"negative",48,"delayed","used car",4788,"between 500 and 999","less than 7 years",4,"male","single","individual",3,"life insurance",26,"no debt","owned",1,"skilled",2,"no","yes","good"
"less than 200",48,"critical","other",7582,"less than 100","unemployed",2,"male","single","individual",4,"no collateral",31,"no debt","free use",1,"highly qualified",1,"yes","yes","good"
"less than 200",12,"delayed","radio/tv",1092,"between 500 and 999","less than 4 years",4,"female","unspecified","guaranteed",4,"real estate",49,"no debt","owned",2,"skilled",1,"yes","yes","good"
"negative",24,"critical","radio/tv",1024,"between 500 and 999","less than 1 year",4,"male","married/widowed","individual",4,"real estate",48,"purchase debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",12,"delayed","business",1076,"between 500 and 999","less than 4 years",2,"male","married/widowed","individual",2,"real estate",26,"no debt","owned",1,"skilled",1,"yes","no","good"
"less than 200",36,"delayed","used car",9398,"between 500 and 999","less than 1 year",1,"male","married/widowed","individual",4,"vehicle",28,"no debt","rented",1,"highly qualified",1,"yes","yes","bad"
"negative",24,"dully paid","used car",6419,"between 500 and 999","more than 7 years",2,"female","unspecified","individual",4,"no collateral",44,"no debt","free use",2,"highly qualified",2,"yes","yes","good"
"more than or = 200",42,"dully paid","used car",4796,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"no collateral",56,"no debt","free use",1,"skilled",1,"no","yes","good"
"no checking",48,"dully paid","business",7629,"between 100 and 499","more than 7 years",4,"male","divorced","individual",2,"vehicle",46,"bank debt","owned",2,"highly qualified",2,"no","yes","good"
"less than 200",48,"delayed","furniture/equipment",9960,"between 500 and 999","less than 1 year",1,"female","unspecified","individual",2,"vehicle",26,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"no checking",12,"delayed","used car",4675,"between 100 and 499","less than 1 year",1,"female","unspecified","individual",4,"vehicle",20,"no debt","rented",1,"skilled",1,"no","yes","good"
"no checking",10,"delayed","new car",1287,"between 100 and 499","more than 7 years",4,"male","single","co-aplicant",2,"life insurance",45,"no debt","owned",1,"unskilled res",1,"no","no","good"
"no checking",18,"delayed","furniture/equipment",2515,"between 500 and 999","less than 4 years",3,"male","single","individual",4,"real estate",43,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",21,"dully paid","furniture/equipment",2745,"no savingss","less than 7 years",3,"male","single","individual",2,"vehicle",32,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",6,"delayed","new car",672,"between 500 and 999","unemployed",1,"female","unspecified","individual",4,"real estate",54,"no debt","owned",1,"unskilled non-res",1,"yes","yes","good"
"less than 200",36,"duly paying","radio/tv",3804,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",1,"vehicle",42,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"more than or = 200",24,"dully paid","new car",1344,"between 100 and 499","less than 7 years",4,"male","single","individual",2,"real estate",37,"bank debt","owned",2,"unskilled res",2,"no","yes","bad"
"negative",10,"dully paid","new car",1038,"between 500 and 999","less than 7 years",4,"male","single","co-aplicant",3,"life insurance",49,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",48,"dully paid","new car",10127,"more than or = 1000","less than 4 years",2,"male","single","individual",2,"no collateral",44,"bank debt","free use",1,"skilled",1,"no","yes","bad"
"no checking",6,"delayed","furniture/equipment",1543,"no savingss","less than 4 years",4,"male","divorced","individual",2,"real estate",33,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",30,"delayed","used car",4811,"between 100 and 499","less than 7 years",2,"female","unspecified","individual",4,"life insurance",24,"purchase debt","rented",1,"unskilled res",1,"no","yes","good"
"negative",12,"delayed","radio/tv",727,"less than 100","less than 1 year",4,"male","married/widowed","individual",3,"no collateral",33,"no debt","owned",1,"unskilled res",1,"yes","yes","bad"
"less than 200",8,"delayed","furniture/equipment",1237,"between 500 and 999","less than 4 years",3,"female","unspecified","individual",4,"real estate",24,"no debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",9,"delayed","new car",276,"between 500 and 999","less than 4 years",4,"male","married/widowed","individual",4,"real estate",22,"no debt","rented",1,"unskilled res",1,"no","yes","good"
"less than 200",48,"delayed","other",5381,"between 100 and 499","unemployed",3,"male","single","individual",4,"no collateral",40,"bank debt","free use",1,"unskilled non-res",1,"yes","yes","good"
"no checking",24,"delayed","furniture/equipment",5511,"less than 100","less than 4 years",4,"male","single","individual",1,"vehicle",25,"purchase debt","owned",1,"skilled",1,"no","yes","good"
"more than or = 200",24,"delayed","furniture/equipment",3749,"between 500 and 999","less than 1 year",2,"female","unspecified","individual",4,"vehicle",26,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",12,"delayed","new car",685,"between 500 and 999","less than 7 years",2,"male","married/widowed","individual",3,"vehicle",25,"bank debt","owned",1,"unskilled res",1,"no","yes","bad"
"more than or = 200",4,"delayed","new car",1494,"between 100 and 499","less than 1 year",1,"male","single","individual",2,"real estate",29,"no debt","owned",1,"unskilled res",2,"no","no","good"
"negative",36,"no credits","furniture/equipment",2746,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",31,"bank debt","owned",1,"skilled",1,"no","yes","bad"
"negative",12,"delayed","furniture/equipment",708,"between 500 and 999","less than 4 years",2,"male","single","guaranteed",3,"life insurance",38,"no debt","owned",1,"unskilled res",2,"no","yes","good"
"less than 200",24,"delayed","furniture/equipment",4351,"between 100 and 499","less than 4 years",1,"female","unspecified","individual",4,"life insurance",48,"no debt","owned",1,"unskilled res",1,"yes","yes","good"
"no checking",12,"dully paid","education",701,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"vehicle",32,"no debt","owned",2,"skilled",1,"no","yes","good"
"negative",15,"critical","furniture/equipment",3643,"between 500 and 999","more than 7 years",1,"female","unspecified","individual",4,"life insurance",27,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"less than 200",30,"dully paid","new car",4249,"between 500 and 999","unemployed",4,"male","married/widowed","individual",2,"vehicle",28,"no debt","owned",2,"highly qualified",1,"no","yes","bad"
"negative",24,"delayed","radio/tv",1938,"between 500 and 999","less than 1 year",4,"male","divorced","individual",3,"life insurance",32,"no debt","owned",1,"skilled",1,"no","yes","bad"
"negative",24,"delayed","used car",2910,"between 500 and 999","less than 7 years",2,"male","single","individual",1,"no collateral",34,"no debt","free use",1,"highly qualified",1,"yes","yes","good"
"negative",18,"delayed","furniture/equipment",2659,"no savingss","less than 4 years",4,"male","single","individual",2,"vehicle",28,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",18,"dully paid","new car",1028,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",3,"real estate",36,"no debt","owned",2,"skilled",1,"no","yes","good"
"negative",8,"dully paid","new car",3398,"between 500 and 999","less than 7 years",1,"male","single","individual",4,"real estate",39,"no debt","owned",2,"unskilled res",1,"no","no","good"
"no checking",12,"dully paid","furniture/equipment",5801,"between 100 and 499","more than 7 years",2,"male","single","individual",4,"life insurance",49,"no debt","rented",1,"skilled",1,"yes","yes","good"
"no checking",24,"delayed","new car",1525,"no savingss","less than 7 years",4,"female","unspecified","individual",3,"vehicle",34,"no debt","owned",1,"skilled",2,"yes","yes","good"
"more than or = 200",36,"delayed","radio/tv",4473,"between 500 and 999","more than 7 years",4,"male","single","individual",2,"vehicle",31,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",6,"delayed","radio/tv",1068,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",28,"no debt","owned",1,"skilled",2,"no","yes","good"
"negative",24,"dully paid","used car",6615,"between 500 and 999","unemployed",2,"male","single","individual",4,"no collateral",75,"no debt","free use",2,"highly qualified",1,"yes","yes","good"
"no checking",18,"dully paid","education",1864,"less than 100","less than 4 years",4,"female","unspecified","individual",2,"real estate",30,"no debt","owned",2,"skilled",1,"no","yes","bad"
"less than 200",60,"delayed","new car",7408,"less than 100","less than 1 year",4,"female","unspecified","individual",2,"life insurance",24,"no debt","owned",1,"highly qualified",1,"no","yes","bad"
"no checking",48,"dully paid","used car",11590,"less than 100","less than 4 years",2,"female","unspecified","individual",4,"vehicle",24,"bank debt","rented",2,"unskilled res",1,"no","yes","bad"
"negative",24,"duly paying","furniture/equipment",4110,"between 500 and 999","more than 7 years",3,"male","single","individual",4,"no collateral",23,"bank debt","rented",2,"skilled",2,"no","yes","bad"
"negative",6,"dully paid","furniture/equipment",3384,"between 500 and 999","less than 4 years",1,"male","divorced","individual",4,"real estate",44,"no debt","rented",1,"highly qualified",1,"yes","yes","bad"
"less than 200",13,"delayed","radio/tv",2101,"between 500 and 999","less than 1 year",2,"female","unspecified","guaranteed",4,"life insurance",23,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"negative",15,"delayed","domestic appliance",1275,"between 100 and 499","less than 4 years",4,"female","unspecified","individual",2,"vehicle",24,"no debt","rented",1,"skilled",1,"no","yes","bad"
"negative",24,"delayed","furniture/equipment",4169,"between 500 and 999","less than 4 years",4,"male","single","individual",4,"life insurance",28,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",10,"delayed","furniture/equipment",1521,"between 500 and 999","less than 4 years",4,"male","divorced","individual",2,"vehicle",31,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",24,"dully paid","education",5743,"between 500 and 999","less than 1 year",2,"female","unspecified","individual",4,"no collateral",24,"no debt","free use",2,"skilled",1,"yes","yes","good"
"negative",21,"delayed","furniture/equipment",3599,"between 500 and 999","less than 7 years",1,"female","unspecified","individual",4,"vehicle",26,"no debt","rented",1,"unskilled res",1,"no","yes","good"
"less than 200",18,"delayed","radio/tv",3213,"more than or = 1000","less than 1 year",1,"male","married/widowed","individual",3,"real estate",25,"no debt","rented",1,"skilled",1,"no","yes","good"
"less than 200",18,"delayed","business",4439,"between 500 and 999","more than 7 years",1,"male","single","co-aplicant",1,"real estate",33,"bank debt","owned",1,"highly qualified",1,"yes","yes","good"
"more than or = 200",10,"delayed","new car",3949,"between 500 and 999","less than 1 year",1,"male","single","guaranteed",1,"life insurance",37,"no debt","owned",1,"unskilled res",2,"no","yes","good"
"no checking",15,"dully paid","radio/tv",1459,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",2,"vehicle",43,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",13,"dully paid","radio/tv",882,"between 500 and 999","less than 1 year",4,"male","single","guaranteed",4,"real estate",23,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",24,"delayed","radio/tv",3758,"more than or = 1000","unemployed",1,"female","unspecified","individual",4,"no collateral",23,"no debt","rented",1,"unskilled non-res",1,"no","yes","good"
"no checking",6,"critical","business",1743,"less than 100","less than 4 years",1,"male","single","individual",2,"real estate",34,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"less than 200",9,"dully paid","education",1136,"no savingss","more than 7 years",4,"male","single","individual",3,"no collateral",32,"no debt","free use",2,"skilled",2,"no","yes","bad"
"no checking",9,"delayed","domestic appliance",1236,"between 500 and 999","less than 1 year",1,"female","unspecified","individual",4,"real estate",23,"no debt","rented",1,"skilled",1,"yes","yes","good"
"less than 200",9,"delayed","furniture/equipment",959,"between 500 and 999","less than 4 years",1,"female","unspecified","individual",2,"vehicle",29,"no debt","owned",1,"skilled",1,"no","no","bad"
"no checking",18,"dully paid","used car",3229,"between 100 and 499","unemployed",2,"male","single","individual",4,"no collateral",38,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"negative",12,"duly paying","radio/tv",6199,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"life insurance",28,"no debt","rented",2,"skilled",1,"yes","yes","bad"
"no checking",10,"delayed","education",727,"more than or = 1000","more than 7 years",4,"male","single","individual",4,"no collateral",46,"no debt","free use",1,"skilled",1,"yes","yes","good"
"less than 200",24,"delayed","new car",1246,"between 500 and 999","less than 1 year",4,"male","single","individual",2,"real estate",23,"purchase debt","owned",1,"unskilled res",1,"no","yes","bad"
"no checking",12,"dully paid","radio/tv",2331,"between 100 and 499","more than 7 years",1,"male","single","co-aplicant",4,"real estate",49,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",36,"critical","radio/tv",4463,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"vehicle",26,"no debt","owned",2,"highly qualified",1,"yes","yes","bad"
"no checking",12,"delayed","radio/tv",776,"between 500 and 999","less than 4 years",4,"male","married/widowed","individual",2,"real estate",28,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",30,"delayed","furniture/equipment",2406,"between 500 and 999","less than 7 years",4,"female","unspecified","individual",4,"real estate",23,"no debt","rented",1,"skilled",1,"no","yes","bad"
"less than 200",18,"delayed","education",1239,"between 100 and 499","less than 4 years",4,"male","single","individual",4,"no collateral",61,"no debt","free use",1,"skilled",1,"no","yes","good"
"more than or = 200",12,"delayed","radio/tv",3399,"between 100 and 499","more than 7 years",2,"male","single","individual",3,"vehicle",37,"no debt","owned",1,"highly qualified",1,"no","yes","good"
"more than or = 200",12,"critical","new car",2247,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",2,"vehicle",36,"purchase debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",6,"delayed","furniture/equipment",1766,"between 500 and 999","less than 4 years",1,"male","married/widowed","individual",2,"life insurance",21,"no debt","rented",1,"skilled",1,"no","yes","good"
"negative",18,"delayed","furniture/equipment",2473,"between 500 and 999","unemployed",4,"male","single","individual",1,"vehicle",25,"no debt","owned",1,"unskilled non-res",1,"no","yes","bad"
"no checking",12,"delayed","business",1542,"between 500 and 999","less than 7 years",2,"male","single","individual",4,"vehicle",36,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",18,"dully paid","used car",3850,"between 500 and 999","less than 7 years",3,"male","single","individual",1,"vehicle",27,"no debt","owned",2,"skilled",1,"no","yes","good"
"negative",18,"delayed","furniture/equipment",3650,"between 500 and 999","less than 1 year",1,"female","unspecified","individual",4,"vehicle",22,"no debt","rented",1,"skilled",1,"no","yes","good"
"negative",36,"delayed","furniture/equipment",3446,"between 500 and 999","more than 7 years",4,"male","single","individual",2,"vehicle",42,"no debt","owned",1,"skilled",2,"no","yes","bad"
"less than 200",18,"delayed","furniture/equipment",3001,"between 500 and 999","less than 7 years",2,"female","unspecified","individual",4,"real estate",40,"no debt","rented",1,"skilled",1,"no","yes","good"
"no checking",36,"delayed","new car",3079,"between 100 and 499","less than 4 years",4,"male","single","individual",4,"real estate",36,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",18,"dully paid","radio/tv",6070,"between 500 and 999","more than 7 years",3,"male","single","individual",4,"vehicle",33,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",10,"dully paid","furniture/equipment",2146,"between 500 and 999","less than 1 year",1,"female","unspecified","individual",3,"real estate",23,"no debt","rented",2,"skilled",1,"no","yes","good"
"no checking",60,"dully paid","new car",13756,"between 100 and 499","more than 7 years",2,"male","single","individual",4,"no collateral",63,"bank debt","free use",1,"highly qualified",1,"yes","yes","good"
"less than 200",60,"no credits","other",14782,"less than 100","more than 7 years",3,"female","unspecified","individual",4,"no collateral",60,"bank debt","free use",2,"highly qualified",1,"yes","yes","bad"
"negative",48,"no credits","business",7685,"between 500 and 999","less than 7 years",2,"female","unspecified","guaranteed",4,"vehicle",37,"no debt","rented",1,"skilled",1,"no","yes","bad"
"no checking",18,"critical","radio/tv",2320,"between 500 and 999","unemployed",2,"male","married/widowed","individual",3,"real estate",34,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",7,"critical","radio/tv",846,"between 100 and 499","more than 7 years",3,"male","single","individual",4,"no collateral",36,"no debt","free use",1,"skilled",1,"no","yes","good"
"less than 200",36,"delayed","new car",14318,"between 500 and 999","more than 7 years",4,"male","single","individual",2,"no collateral",57,"no debt","free use",1,"highly qualified",1,"yes","yes","bad"
"no checking",6,"dully paid","new car",362,"less than 100","less than 4 years",4,"female","unspecified","individual",4,"vehicle",52,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"negative",20,"delayed","furniture/equipment",2212,"between 100 and 499","less than 7 years",4,"male","single","individual",4,"vehicle",39,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",18,"delayed","used car",12976,"between 500 and 999","unemployed",3,"female","unspecified","individual",4,"no collateral",38,"no debt","free use",1,"highly qualified",1,"yes","yes","bad"
"no checking",22,"delayed","new car",1283,"between 100 and 499","less than 7 years",4,"female","unspecified","individual",4,"life insurance",25,"no debt","rented",1,"skilled",1,"no","yes","good"
"more than or = 200",12,"delayed","new car",1330,"between 500 and 999","less than 1 year",4,"male","single","individual",1,"real estate",26,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",30,"critical","business",4272,"less than 100","less than 4 years",2,"male","single","individual",2,"life insurance",26,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"no checking",18,"dully paid","radio/tv",2238,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",1,"vehicle",25,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",18,"delayed","radio/tv",1126,"between 100 and 499","less than 1 year",4,"female","unspecified","individual",2,"real estate",21,"no debt","rented",1,"skilled",1,"yes","yes","good"
"less than 200",18,"dully paid","furniture/equipment",7374,"between 500 and 999","unemployed",4,"male","single","individual",4,"life insurance",40,"purchase debt","owned",2,"highly qualified",1,"yes","yes","good"
"less than 200",15,"dully paid","business",2326,"more than or = 1000","less than 4 years",2,"male","single","individual",4,"vehicle",27,"bank debt","owned",1,"skilled",1,"no","yes","good"
"no checking",9,"delayed","business",1449,"between 500 and 999","less than 7 years",3,"female","unspecified","individual",2,"vehicle",27,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",18,"delayed","new car",1820,"between 500 and 999","less than 4 years",2,"male","married/widowed","individual",2,"life insurance",30,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"less than 200",12,"delayed","furniture/equipment",983,"no savingss","less than 1 year",1,"female","unspecified","individual",4,"real estate",19,"no debt","rented",1,"unskilled res",1,"no","yes","good"
"negative",36,"delayed","new car",3249,"between 500 and 999","less than 7 years",2,"male","single","individual",4,"no collateral",39,"bank debt","free use",1,"highly qualified",2,"yes","yes","good"
"negative",6,"dully paid","radio/tv",1957,"between 500 and 999","less than 7 years",1,"female","unspecified","individual",4,"vehicle",31,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",9,"dully paid","furniture/equipment",2406,"between 500 and 999","unemployed",2,"male","single","individual",3,"vehicle",31,"no debt","owned",1,"highly qualified",1,"no","yes","good"
"less than 200",39,"critical","education",11760,"less than 100","less than 7 years",2,"male","single","individual",3,"no collateral",32,"no debt","rented",1,"skilled",1,"yes","yes","good"
"negative",12,"delayed","furniture/equipment",2578,"between 500 and 999","unemployed",3,"female","unspecified","individual",4,"no collateral",55,"no debt","free use",1,"highly qualified",1,"no","yes","good"
"negative",36,"dully paid","furniture/equipment",2348,"between 500 and 999","less than 4 years",3,"male","married/widowed","individual",2,"life insurance",46,"no debt","owned",2,"skilled",1,"yes","yes","good"
"less than 200",12,"delayed","new car",1223,"between 500 and 999","more than 7 years",1,"male","divorced","individual",1,"real estate",46,"no debt","rented",2,"skilled",1,"no","yes","bad"
"no checking",24,"dully paid","radio/tv",1516,"no savingss","less than 4 years",4,"female","unspecified","individual",1,"real estate",43,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"no checking",18,"delayed","radio/tv",1473,"between 500 and 999","less than 1 year",3,"male","married/widowed","individual",4,"real estate",39,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",18,"dully paid","business",1887,"between 100 and 499","less than 4 years",4,"male","married/widowed","individual",4,"real estate",28,"bank debt","owned",2,"skilled",1,"no","yes","good"
"no checking",24,"critical","business",8648,"between 500 and 999","less than 1 year",2,"male","single","individual",2,"vehicle",27,"bank debt","owned",2,"skilled",1,"yes","yes","bad"
"no checking",14,"critical","new car",802,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"vehicle",27,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"less than 200",18,"critical","new car",2899,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"vehicle",43,"no debt","owned",1,"skilled",2,"no","yes","good"
"less than 200",24,"delayed","radio/tv",2039,"between 500 and 999","less than 1 year",1,"male","married/widowed","individual",1,"life insurance",22,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"no checking",24,"dully paid","used car",2197,"between 100 and 499","less than 7 years",4,"male","single","individual",4,"vehicle",43,"no debt","owned",2,"skilled",2,"yes","yes","good"
"negative",15,"delayed","radio/tv",1053,"between 500 and 999","less than 1 year",4,"male","married/widowed","individual",2,"real estate",27,"no debt","owned",1,"skilled",1,"no","no","good"
"no checking",24,"delayed","radio/tv",3235,"more than or = 1000","more than 7 years",3,"male","divorced","individual",2,"vehicle",26,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"more than or = 200",12,"dully paid","new car",939,"more than or = 1000","less than 7 years",4,"male","married/widowed","individual",2,"real estate",28,"no debt","owned",3,"skilled",1,"yes","yes","bad"
"less than 200",24,"delayed","radio/tv",1967,"between 500 and 999","more than 7 years",4,"female","unspecified","individual",4,"vehicle",20,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",33,"dully paid","used car",7253,"between 500 and 999","less than 7 years",3,"male","single","individual",2,"vehicle",35,"no debt","owned",2,"highly qualified",1,"yes","yes","good"
"no checking",12,"dully paid","business",2292,"between 500 and 999","unemployed",4,"male","single","individual",2,"vehicle",42,"purchase debt","owned",2,"highly qualified",1,"yes","yes","bad"
"no checking",10,"delayed","new car",1597,"more than or = 1000","less than 4 years",3,"male","single","individual",2,"no collateral",40,"no debt","rented",1,"unskilled res",2,"no","no","good"
"negative",24,"delayed","new car",1381,"between 100 and 499","less than 4 years",4,"female","unspecified","individual",2,"life insurance",35,"no debt","owned",1,"skilled",1,"no","yes","bad"
